X;Activation1(X);Activation2(X)
-2.375000e+000;8.251953e-002;-8.349609e-001
-2.312500e+000;8.911133e-002;-8.220215e-001
-2.250000e+000;9.570313e-002;-8.085938e-001
-2.187500e+000;1.027832e-001;-7.946777e-001
-2.125000e+000;1.098633e-001;-7.802734e-001
-2.062500e+000;1.174316e-001;-7.653809e-001
-2.000000e+000;1.250000e-001;-7.500000e-001
-1.937500e+000;1.330566e-001;-7.341309e-001
-1.875000e+000;1.411133e-001;-7.177734e-001
-1.812500e+000;1.496582e-001;-7.009277e-001
-1.750000e+000;1.582031e-001;-6.835938e-001
-1.687500e+000;1.672363e-001;-6.657715e-001
-1.625000e+000;1.762695e-001;-6.474609e-001
-1.562500e+000;1.857910e-001;-6.286621e-001
-1.500000e+000;1.953125e-001;-6.093750e-001
-1.437500e+000;2.053223e-001;-5.895996e-001
-1.375000e+000;2.153320e-001;-5.693359e-001
-1.312500e+000;2.258301e-001;-5.485840e-001
-1.250000e+000;2.363281e-001;-5.273438e-001
-1.187500e+000;2.473145e-001;-5.056152e-001
-1.125000e+000;2.583008e-001;-4.833984e-001
-1.062500e+000;2.697754e-001;-4.606934e-001
-1.000000e+000;2.812500e-001;-4.375000e-001
-9.375000e-001;2.382813e-001;-5.236816e-001
-8.750000e-001;2.573242e-001;-4.853516e-001
-8.125000e-001;2.763672e-001;-4.475098e-001
-7.500000e-001;2.949219e-001;-4.101563e-001
-6.875000e-001;3.134766e-001;-3.732910e-001
-6.250000e-001;3.315430e-001;-3.369141e-001
-5.625000e-001;3.496094e-001;-3.010254e-001
-5.000000e-001;3.671875e-001;-2.656250e-001
-4.375000e-001;3.847656e-001;-2.307129e-001
-3.750000e-001;4.018555e-001;-1.962891e-001
-3.125000e-001;4.189453e-001;-1.623535e-001
-2.500000e-001;4.355469e-001;-1.289063e-001
-1.875000e-001;4.521484e-001;-9.594727e-002
-1.250000e-001;4.682617e-001;-6.347656e-002
-6.250000e-002;4.843750e-001;-3.149414e-002
0.000000e+000;5.000000e-001;0.000000e+000
6.250000e-002;5.153809e-001;3.100586e-002
1.250000e-001;5.307617e-001;6.152344e-002
1.875000e-001;5.456543e-001;9.155273e-002
2.500000e-001;5.605469e-001;1.210938e-001
3.125000e-001;5.749512e-001;1.501465e-001
3.750000e-001;5.893555e-001;1.787109e-001
4.375000e-001;6.032715e-001;2.067871e-001
5.000000e-001;6.171875e-001;2.343750e-001
5.625000e-001;6.306152e-001;2.614746e-001
6.250000e-001;6.440430e-001;2.880859e-001
6.875000e-001;6.569824e-001;3.142090e-001
7.500000e-001;6.699219e-001;3.398438e-001
8.125000e-001;6.823730e-001;3.649902e-001
8.750000e-001;6.948242e-001;3.896484e-001
9.375000e-001;7.067871e-001;4.138184e-001
1.000000e+000;7.187500e-001;4.375000e-001
1.062500e+000;7.302246e-001;4.606934e-001
1.125000e+000;7.416992e-001;4.833984e-001
1.187500e+000;7.526855e-001;5.056152e-001
1.250000e+000;7.636719e-001;5.273438e-001
1.312500e+000;7.741699e-001;5.485840e-001
1.375000e+000;7.846680e-001;5.693359e-001
1.437500e+000;7.946777e-001;5.895996e-001
1.500000e+000;8.046875e-001;6.093750e-001
1.562500e+000;8.142090e-001;6.286621e-001
1.625000e+000;8.237305e-001;6.474609e-001
1.687500e+000;8.327637e-001;6.657715e-001
1.750000e+000;8.417969e-001;6.835938e-001
1.812500e+000;8.503418e-001;7.009277e-001
1.875000e+000;8.588867e-001;7.177734e-001
1.937500e+000;8.669434e-001;7.341309e-001
2.000000e+000;8.750000e-001;7.500000e-001
2.062500e+000;8.825684e-001;7.653809e-001
2.125000e+000;8.901367e-001;7.802734e-001
2.187500e+000;8.972168e-001;7.946777e-001
2.250000e+000;9.042969e-001;8.085938e-001
2.312500e+000;9.108887e-001;8.220215e-001
2.375000e+000;9.174805e-001;8.349609e-001
2.437500e+000;9.235840e-001;8.474121e-001
2.500000e+000;9.296875e-001;8.593750e-001
2.562500e+000;9.353027e-001;8.708496e-001
2.625000e+000;9.409180e-001;8.818359e-001
2.687500e+000;9.460449e-001;8.923340e-001
2.750000e+000;9.511719e-001;9.023438e-001
2.812500e+000;9.558105e-001;9.118652e-001
2.875000e+000;9.604492e-001;9.208984e-001
2.937500e+000;9.645996e-001;9.294434e-001
3.000000e+000;9.687500e-001;9.375000e-001
3.062500e+000;9.724121e-001;9.450684e-001
3.125000e+000;9.760742e-001;9.521484e-001
3.187500e+000;9.792480e-001;9.587402e-001
3.250000e+000;9.824219e-001;9.648438e-001
3.312500e+000;9.851074e-001;9.704590e-001
3.375000e+000;9.877930e-001;9.755859e-001
3.437500e+000;9.899902e-001;9.802246e-001
3.500000e+000;9.921875e-001;9.843750e-001
3.562500e+000;9.938965e-001;9.880371e-001
3.625000e+000;9.956055e-001;9.912109e-001
3.687500e+000;9.968262e-001;9.938965e-001
3.750000e+000;9.980469e-001;9.960938e-001
3.812500e+000;9.987793e-001;9.978027e-001
3.875000e+000;9.995117e-001;9.990234e-001
3.937500e+000;9.997559e-001;9.997559e-001
4.000000e+000;9.997559e-001;1.000000e+000
4.062500e+000;9.997559e-001;1.000000e+000
4.125000e+000;9.997559e-001;1.000000e+000
4.187500e+000;9.997559e-001;1.000000e+000
4.250000e+000;9.997559e-001;1.000000e+000
4.312500e+000;9.997559e-001;1.000000e+000
4.375000e+000;9.997559e-001;1.000000e+000
4.437500e+000;9.997559e-001;1.000000e+000
4.500000e+000;9.997559e-001;1.000000e+000
4.562500e+000;9.997559e-001;1.000000e+000
4.625000e+000;9.997559e-001;1.000000e+000
4.687500e+000;9.997559e-001;1.000000e+000
4.750000e+000;9.997559e-001;1.000000e+000
4.812500e+000;9.997559e-001;1.000000e+000
4.875000e+000;9.997559e-001;1.000000e+000
4.937500e+000;9.997559e-001;1.000000e+000
5.000000e+000;9.997559e-001;1.000000e+000
5.062500e+000;9.997559e-001;1.000000e+000
5.125000e+000;9.997559e-001;1.000000e+000
5.187500e+000;9.997559e-001;1.000000e+000
5.250000e+000;9.997559e-001;1.000000e+000
5.312500e+000;9.997559e-001;1.000000e+000
5.375000e+000;9.997559e-001;1.000000e+000
5.437500e+000;9.997559e-001;1.000000e+000
5.500000e+000;9.997559e-001;1.000000e+000
5.562500e+000;9.997559e-001;1.000000e+000
5.625000e+000;9.997559e-001;1.000000e+000
5.687500e+000;9.997559e-001;1.000000e+000
5.750000e+000;9.997559e-001;1.000000e+000
5.812500e+000;9.997559e-001;1.000000e+000
5.875000e+000;9.997559e-001;1.000000e+000
5.937500e+000;9.997559e-001;1.000000e+000
6.000000e+000;9.997559e-001;1.000000e+000
6.062500e+000;9.997559e-001;1.000000e+000
6.125000e+000;9.997559e-001;1.000000e+000
6.187500e+000;9.997559e-001;1.000000e+000
6.250000e+000;9.997559e-001;1.000000e+000
6.312500e+000;9.997559e-001;1.000000e+000
6.375000e+000;9.997559e-001;1.000000e+000
6.437500e+000;9.997559e-001;1.000000e+000
6.500000e+000;9.997559e-001;1.000000e+000
6.562500e+000;9.997559e-001;1.000000e+000
6.625000e+000;9.997559e-001;1.000000e+000
6.687500e+000;9.997559e-001;1.000000e+000
6.750000e+000;9.997559e-001;1.000000e+000
6.812500e+000;9.997559e-001;1.000000e+000
6.875000e+000;9.997559e-001;1.000000e+000
6.937500e+000;9.997559e-001;1.000000e+000
7.000000e+000;9.997559e-001;1.000000e+000
7.062500e+000;9.997559e-001;1.000000e+000
7.125000e+000;9.997559e-001;1.000000e+000
7.187500e+000;9.997559e-001;1.000000e+000
7.250000e+000;9.997559e-001;1.000000e+000
7.312500e+000;9.997559e-001;1.000000e+000
7.375000e+000;9.997559e-001;1.000000e+000
7.437500e+000;9.997559e-001;1.000000e+000
7.500000e+000;9.997559e-001;1.000000e+000
7.562500e+000;9.997559e-001;1.000000e+000
7.625000e+000;9.997559e-001;1.000000e+000
7.687500e+000;9.997559e-001;1.000000e+000
7.750000e+000;9.997559e-001;1.000000e+000
7.812500e+000;9.997559e-001;1.000000e+000
7.875000e+000;9.997559e-001;1.000000e+000
7.937500e+000;9.997559e-001;1.000000e+000
